gene,event_type,exons,delta_PSI,p_value,mean_tumor,mean_normal,n_tumor,n_normal,p_adj
HNRNPK,ES,9,-0.059173548387096875,0.0008702416389919037,0.8397464516129032,0.89892,155,5,0.006230213040174886
FGFR3,AA,11.1,0.05872342465753427,0.03520587357139371,0.27340342465753426,0.21467999999999998,146,5,0.082513766182954
SRSF2,RI,2.4,0.057349677419354816,0.20938079132301246,0.6373496774193548,0.58,155,5,0.34138172498317254
BCL2L11,AT,11,0.05668903225806443,0.06117316852441941,0.9694690322580645,0.91278,155,5,0.12569829148853304
SRSF5,AD,2.2,0.05307354838709677,0.0021438656940318194,0.6939135483870968,0.6408400000000001,155,5,0.010373543680799126
PTBP1,ES,9.1:9.2,-0.05010838709677434,0.4620274838746863,0.7539716129032258,0.8040800000000001,155,5,0.624361464695522
CASP9,ES,4:5:6:7,-0.047528387096774094,0.0014815054780148525,0.9451916129032258,0.9927199999999999,155,5,0.007936636489365281
FGFR2,ES,4,-0.04256709677419368,0.08609772380595483,0.9095329032258064,0.9521000000000001,155,5,0.16347669077080032
SMAD3,AP,1,-0.042200666666666664,0.4111635155830551,0.8957593333333334,0.93796,150,5,0.5658213517198005
CASP9,AP,2,0.039138562091503126,0.010872297704974398,0.9705385620915031,0.9314,153,5,0.037064651266958175
ERCC1,ES,9,0.03875548387096772,0.028747402196641215,0.8970154838709676,0.8582599999999999,155,5,0.07346111433838726
FGFR1,ES,7,0.038374039735099334,0.024056705835204147,0.051494039735099334,0.013120000000000001,151,5,0.07217011750561245
TRA2B,ES,2,0.03789290322580638,0.29402719889462603,0.2774729032258064,0.23958000000000004,155,5,0.4366740577642961
HSP90AA1,ES,2,0.036583108108108164,0.06738460238019216,0.9373831081081082,0.9008,148,5,0.13264693944807196
SRSF5,AA,8.1,-0.03633999999999993,0.5238368332667351,0.35216000000000003,0.38849999999999996,155,5,0.6635445185213932
HNRNPA1,ES,6.2:7.1:7.2:9.1,0.034781935483870874,0.0001472059807291926,0.9803819354838709,0.9456,155,5,0.002476402369487425
SRSF1,RI,3.4,0.034750967741935535,0.008459076549626856,0.9741509677419355,0.9394,155,5,0.030210987677238767
MLH1,AA,2.1,0.03466242424242438,0.12322676075292005,0.9718424242424244,0.93718,132,5,0.22004778705878578
SRSF7,ES,7,-0.034507741935484115,0.0061247726192203275,0.838932258064516,0.8734400000000001,155,5,0.02380426397398378
