gene	drug	regulatory approval	indication	interaction score
TP53	JQ1	Not Approved	""	0.04619805182202258
TP53	PEMBROLIZUMAB	Approved	""	0.01399940964303714
TP53	DICHLOROPHEN	Not Approved	""	0.006416396086392026
TP53	LEVONORGESTREL	Approved	for treatment of menopausal symptoms,contraceptive	0.03299860844430185
TP53	CHEMBL:CHEMBL261693	Not Approved	""	0.02309902591101129
TP53	ZANUBRUTINIB	Approved	""	0.1154951295550564
TP53	IL-12	Not Approved	""	0.0256655843455681
TP53	SB 224289	Not Approved	""	0.00962459412958804
TP53	OXALIPLATIN	Approved	""	0.009118036543820249
TP53	CHEMBL:CHEMBL422942	Not Approved	""	0.03849837651835216
TP53	ECONAZOLE NITRATE	Approved	""	0.008249652111075463
TP53	CHEMBL:CHEMBL429335	Not Approved	""	0.02309902591101129
TP53	2-IODOACETAMIDE	Not Approved	""	0.008249652111075463
TP53	CHEMBL:CHEMBL267160	Not Approved	""	0.02887378238876412
TP53	CAULIBUGULONE C	Not Approved	""	0.03849837651835216
TP53	CHEMBL:CHEMBL271023	Not Approved	""	0.01924918825917608
TP53	INOSITOL	Approved	for treatment of Alzheimer's disease	0.01539935060734086
TP53	ALECTINIB	Approved	""	0.04619805182202258
TP53	MAGROLIMAB	Not Approved	""	0.05774756477752824
TP53	PAZOPANIB	Approved	antineoplastic agent	0.008104921372284666
TP53	MICHLER'S KETONE	Not Approved	""	0.01283279217278405
TP53	CHEMBL:CHEMBL260213	Not Approved	""	0.01924918825917608
TP53	THIOTEPA	Approved	""	0.02309902591101129
TP53	KU-60019	Not Approved	""	0.05774756477752824
TP53	CHEMBL:CHEMBL528712	Not Approved	""	0.03849837651835216
TP53	THIORIDAZINE	Approved	Antipsychotic Agents	0.003982590674312292
TP53	BENZALKONIUM CHLORIDE	Approved	""	0.05774756477752824
TP53	BAICALEIN	Not Approved	""	0.004619805182202259
TP53	DABRAFENIB	Approved	antineoplastic agent	0.01711038956371207
TP53	CAULIBUGULONE D	Not Approved	""	0.05774756477752824
TP53	CHEMBL:CHEMBL16685	Not Approved	""	0.05774756477752824
TP53	CHEMBL:CHEMBL261118	Not Approved	""	0.03849837651835216
TP53	KRESOXIM-METHYL	Not Approved	""	0.03849837651835216
TP53	MELPHALAN	Approved	""	0.005774756477752823
TP53	CHEMBL:CHEMBL259784	Not Approved	""	0.01924918825917608
TP53	(R)-INDOPROFEN	Not Approved	""	0.1154951295550564
TP53	PENTACHLOROPHENOL	Not Approved	""	0.008249652111075463
TP53	ATRACTYLENOLIDE I	Not Approved	""	0.2309902591101129
TP53	CONTUSUGENE LADENOVEC	Not Approved	""	0.2309902591101129
TP53	CYCLOPHOSPHAMIDE ANHYDROUS	Approved	""	0.005703463187904024
TP53	CHEMBL:CHEMBL1522984	Not Approved	""	0.02309902591101129
TP53	TAMOXIFEN CITRATE	Approved	""	0.006078691029213499
TP53	NORTRIPTYLINE	Approved	antidepressant,antiasthmatic agent	0.003609222798595515
TP53	NIGULDIPINE	Not Approved	""	0.01443689119438206
TP53	BENZO(K)FLUORANTHENE	Not Approved	""	0.01154951295550564
TP53	R547	Not Approved	""	0.03299860844430185
TP53	BENZO[B]FLUORANTHENE	Not Approved	""	0.01649930422215092
TP53	LORLATINIB	Approved	""	0.02665272220501303
TP53	RUXOLITINIB	Approved	antiinflammatory agent,antineoplastic agent	0.01443689119438206
TP53	STREPTONIGRIN	Not Approved	""	0.01154951295550564
TP53	RECOMBINANT VASCULAR ENDOTHELIAL GROWTH FACTOR	Not Approved	""	0.02474895633322639
TP53	CHEMBL:CHEMBL1346468	Not Approved	""	0.05774756477752824
TP53	RS-39604	Not Approved	""	0.03849837651835216
