Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"FAS","Fas Cell Surface Death Receptor","Protein Coding","P25445","63","GC10P134457","12.0668029785156","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAS"
"BAX","BCL2 Associated X, Apoptosis Regulator","Protein Coding","Q07812","63","GC19P048954","12.0651931762695","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BAX"
"KRAS","KRAS Proto-Oncogene, GTPase","Protein Coding","P01116","66","GC12M039202","12.062876701355","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRAS"
"EPB41L5","Erythrocyte Membrane Protein Band 4.1 Like 5","Protein Coding","Q9HCM4","44","GC02P120013","12.0403413772583","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPB41L5"
"MIR323A","MicroRNA 323a","RNA Gene","","27","GC14P123638","12.0030002593994","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR323A"
"MEG3","Maternally Expressed 3","RNA Gene","","36","GC14P123627","11.9779329299927","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEG3"
"TNFAIP3","TNF Alpha Induced Protein 3","Protein Coding","P21580","61","GC06P137866","11.9746789932251","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFAIP3"
"MAP2K4","Mitogen-Activated Protein Kinase Kinase 4","Protein Coding","P45985","62","GC17P012020","11.9664621353149","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP2K4"
"FGD5-AS1","FGD5 Antisense RNA 1","RNA Gene","","25","GC03M029843","11.9510059356689","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGD5-AS1"
"HSP90AA1","Heat Shock Protein 90 Alpha Family Class A Member 1","Protein Coding","P07900","64","GC14M102080","11.9491395950317","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSP90AA1"
"IRS1","Insulin Receptor Substrate 1","Protein Coding","P35568","60","GC02M226731","11.9485416412354","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRS1"
"CLSPN","Claspin","Protein Coding","Q9HAW4","52","GC01M035720","11.93825340271","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLSPN"
"MMP2","Matrix Metallopeptidase 2","Protein Coding","P08253","66","GC16P137330","11.9310722351074","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP2"
"TSC1","TSC Complex Subunit 1","Protein Coding","Q92574","61","GC09M132891","11.9213819503784","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSC1"
"MIR23B","MicroRNA 23b","RNA Gene","","29","GC09P095085","11.9067192077637","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR23B"
"SNHG9","Small Nucleolar RNA Host Gene 9","RNA Gene","","26","GC16P135933","11.8744821548462","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNHG9"
"SMARCB1","SWI/SNF Related BAF Chromatin Remodeling Complex Subunit B1","Protein Coding","Q12824","58","GC22P023786","11.8718070983887","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMARCB1"
"UBL7-DT","UBL7 Divergent Transcript","RNA Gene","","19","GC15P218422","11.8450603485107","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBL7-DT"
"GFAP","Glial Fibrillary Acidic Protein","Protein Coding","P14136","60","GC17M104866","11.821590423584","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GFAP"
"HSPA7","Heat Shock Protein Family A (Hsp70) Member 7 (Pseudogene)","Pseudogene","P48741","33","GC01P161606","11.8117303848267","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPA7"
"TPT1-AS1","TPT1 Antisense RNA 1","RNA Gene","","25","GC13P045341","11.7803773880005","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TPT1-AS1"
"CASC2","Cancer Susceptibility 2","RNA Gene","Q8IU53","33","GC10P118046","11.7542924880981","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASC2"
"NOTCH1","Notch Receptor 1","Protein Coding","P46531","66","GC09M140475","11.7279224395752","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOTCH1"
"FOXD3-AS1","FOXD3 Antisense RNA 1","RNA Gene","","25","GC01M063320","11.7223749160767","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXD3-AS1"
"HOXA-AS2","HOXA Cluster Antisense RNA 2","RNA Gene","","27","GC07P027107","11.7179279327393","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HOXA-AS2"
"LINC01503","Long Intergenic Non-Protein Coding RNA 1503","RNA Gene","","23","GC09P160956","11.7081499099731","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01503"
"TNFSF10","TNF Superfamily Member 10","Protein Coding","P50591","58","GC03M172505","11.7002830505371","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFSF10"
"HOXA-AS3","HOXA Cluster Antisense RNA 3","RNA Gene","","27","GC07P027129","11.6996450424194","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HOXA-AS3"
"MIR24-1","MicroRNA 24-1","RNA Gene","","27","GC09P095086","11.6826219558716","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR24-1"
"SNHG5","Small Nucleolar RNA Host Gene 5","RNA Gene","","27","GC06M115653","11.6755428314209","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNHG5"
"ENSG00000262961","Glioblastoma Amplified Sequence (GBAS) Pseudogene","Pseudogene","","4","GC17P174452","11.6715698242188","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENSG00000262961"
"ENSG00000275138","Glioblastoma Amplified Sequence (GBAS) Pseudogene","Pseudogene","","4","GC06M141019","11.6715698242188","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENSG00000275138"
"LINC02381","Long Intergenic Non-Protein Coding RNA 2381","RNA Gene","","23","GC12P086926","11.670166015625","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC02381"
"ERCC1","ERCC Excision Repair 1, Endonuclease Non-Catalytic Subunit","Protein Coding","P07992","58","GC19M116421","11.6174325942993","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERCC1"
"RUNX1-IT1","RUNX1 Intronic Transcript 1","RNA Gene","","25","GC21M035037","11.6115217208862","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RUNX1-IT1"
"MIR132","MicroRNA 132","RNA Gene","","30","GC17M002049","11.6113338470459","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR132"
"WEE2-AS1","WEE2 Antisense RNA 1","RNA Gene","","25","GC07M141704","11.6092090606689","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WEE2-AS1"
"LINC01410","Long Intergenic Non-Protein Coding RNA 1410","RNA Gene","","23","GC09P086855","11.6092090606689","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01410"
"VPS18","VPS18 Core Subunit Of CORVET And HOPS Complexes","Protein Coding","Q9P253","51","GC15P040894","11.5864419937134","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VPS18"
"PCAT6","Prostate Cancer Associated Transcript 6","RNA Gene","","25","GC01P202810","11.5864419937134","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCAT6"
"PITPNA-AS1","PITPNA Antisense RNA 1","RNA Gene","","23","GC17P001516","11.5864419937134","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PITPNA-AS1"
"PXN-AS1","PXN Antisense RNA 1","RNA Gene","","23","GC12P120201","11.559814453125","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PXN-AS1"
"LINC01736","Long Intergenic Non-Protein Coding RNA 1736","RNA Gene","","16","GC01P234388","11.559814453125","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01736"
"SCHLAP1","SWI/SNF Complex Antagonist Associated With Prostate Cancer 1","RNA Gene","","23","GC02P180511","11.5340509414673","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCHLAP1"
"SLC44A3-AS1","SLC44A3 Antisense RNA 1","RNA Gene","","20","GC01M095142","11.5340509414673","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC44A3-AS1"
"HAS2-AS1","HAS2 Antisense RNA 1","RNA Gene","","26","GC08P121639","11.5227613449097","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HAS2-AS1"
"SOX10","SRY-Box Transcription Factor 10","Protein Coding","P56693","58","GC22M092395","11.4941368103027","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOX10"
"SLC16A1-AS1","SLC16A1 Antisense RNA 1","RNA Gene","","25","GC01P114223","11.4934816360474","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC16A1-AS1"
"MIR425","MicroRNA 425","RNA Gene","","29","GC03M055275","11.4838533401489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR425"
"MYCNOS","MYCN Opposite Strand","RNA Gene","P40205","33","GC02M015918","11.4718151092529","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYCNOS"
"SNHG20","Small Nucleolar RNA Host Gene 20","RNA Gene","","28","GC17P176434","11.4670352935791","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNHG20"
"MIR31HG","MIR31 Host Gene","RNA Gene","","26","GC09M022410","11.458740234375","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR31HG"
"H3-3B","H3.3 Histone B","Protein Coding","P84243","50","GC17M105613","11.4075441360474","https://www.genecards.org/cgi-bin/carddisp.pl?gene=H3-3B"
"PCED1B-AS1","PCED1B Antisense RNA 1","RNA Gene","","24","GC12M047154","11.3846473693848","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCED1B-AS1"
"USP30-AS1","USP30 Antisense RNA 1","RNA Gene","","23","GC12M109052","11.3812637329102","https://www.genecards.org/cgi-bin/carddisp.pl?gene=USP30-AS1"
"CD44","CD44 Molecule (IN Blood Group)","Protein Coding","P16070","61","GC11P035139","11.3670406341553","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD44"
"CDKN2C","Cyclin Dependent Kinase Inhibitor 2C","Protein Coding","P42773","57","GC01P050960","11.3590612411499","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN2C"
"MMP9","Matrix Metallopeptidase 9","Protein Coding","P14780","66","GC20P046008","11.3438262939453","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP9"
"PWRN1","Prader-Willi Region Non-Protein Coding RNA 1","RNA Gene","","27","GC15P218386","11.3253479003906","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PWRN1"
"RPSAP52","Ribosomal Protein SA Pseudogene 52","Pseudogene","","23","GC12M065758","11.3253479003906","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPSAP52"
"CARMN","Cardiac Mesoderm Enhancer-Associated Non-Coding RNA","RNA Gene","","29","GC05P149397","11.3211688995361","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CARMN"
"PSMG3-AS1","PSMG3 Antisense RNA 1","RNA Gene","Q96PY0","27","GC07P031603","11.3211688995361","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMG3-AS1"
"SNHG4","Small Nucleolar RNA Host Gene 4","RNA Gene","","27","GC05P139273","11.3211688995361","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNHG4"
"GAPLINC","Gastric Adenocarcinoma Associated, Positive CD44 Regulator, Long Intergenic Non-Coding RNA","RNA Gene","","24","GC18P003798","11.3211688995361","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAPLINC"
"OXCT1-AS1","OXCT1 Antisense RNA 1","RNA Gene","","24","GC05P041893","11.3211688995361","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OXCT1-AS1"
"CDK2","Cyclin Dependent Kinase 2","Protein Coding","P24941","63","GC12P055966","11.3129930496216","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK2"
"HOXD10","Homeobox D10","Protein Coding","P28358","49","GC02P176108","11.2948160171509","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HOXD10"
"NRAS","NRAS Proto-Oncogene, GTPase","Protein Coding","P01111","63","GC01M114704","11.2577905654907","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NRAS"
"ADGRB1","Adhesion G Protein-Coupled Receptor B1","Protein Coding","O14514","49","GC08P142449","11.2320423126221","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADGRB1"
"MIR24-2","MicroRNA 24-2","RNA Gene","","28","GC19M115786","11.2234134674072","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR24-2"
"MNX1-AS1","MNX1 Antisense RNA 1 (Head To Head)","RNA Gene","","25","GC07P170849","11.1789951324463","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MNX1-AS1"
"BIRC5","Baculoviral IAP Repeat Containing 5","Protein Coding","O15392","58","GC17P078214","11.1776924133301","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BIRC5"
"ANXA2P2","Annexin A2 Pseudogene 2","Pseudogene","A6NMY6","30","GC09P085470","11.1760864257813","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANXA2P2"
"LINC01711","Long Intergenic Non-Protein Coding RNA 1711","RNA Gene","","21","GC20P060729","11.1760864257813","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01711"
"BRCA1","BRCA1 DNA Repair Associated","Protein Coding","P38398","63","GC17M043044","11.1689958572388","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRCA1"
"AURKB","Aurora Kinase B","Protein Coding","Q96GD4","65","GC17M103783","11.1042890548706","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AURKB"
"LINC01426","Long Intergenic Non-Protein Coding RNA 1426","RNA Gene","","20","GC21P034745","11.0894966125488","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01426"
"PRKDC","Protein Kinase, DNA-Activated, Catalytic Subunit","Protein Coding","P78527","63","GC08M047773","11.0177917480469","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKDC"
"GAS8-AS1","GAS8 Antisense RNA 1","RNA Gene","O95177","33","GC16M090028","11.0101594924927","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAS8-AS1"
"DCST1-AS1","DCST1 Antisense RNA 1","RNA Gene","","22","GC01M169779","11.0101594924927","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DCST1-AS1"
"LINC01833","Long Intergenic Non-Protein Coding RNA 1833","RNA Gene","","19","GC02M044921","11.0101594924927","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01833"
"ZHX2-AS1","ZHX2 Antisense RNA 2","RNA Gene","","19","GC08M122802","11.0101594924927","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZHX2-AS1"
"NFE2L2","NFE2 Like BZIP Transcription Factor 2","Protein Coding","Q16236","64","GC02M177227","10.9953918457031","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFE2L2"
"SMIM30","Small Integral Membrane Protein 30","Protein Coding","A4D0T7","30","GC07M113117","10.9282894134521","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMIM30"
"CHEK2","Checkpoint Kinase 2","Protein Coding","O96017","67","GC22M028687","10.8796854019165","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHEK2"
"LINC02925","Long Intergenic Non-Protein Coding RNA 2925","RNA Gene","","17","GC22P102880","10.8720903396606","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC02925"
"MDM4","MDM4 Regulator Of P53","Protein Coding","O15151","58","GC01P204516","10.8233785629272","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MDM4"
"H3C2","H3 Clustered Histone 2","Protein Coding","P68431","46","GC06M114610","10.8182601928711","https://www.genecards.org/cgi-bin/carddisp.pl?gene=H3C2"
"HLA-F-AS1","HLA-F Antisense RNA 1","RNA Gene","","26","GC06M114845","10.801456451416","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-F-AS1"
"MILIP","MYC Inducible LncRNA Inactivating P53","RNA Gene","","22","GC17P176574","10.801456451416","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MILIP"
"EGF","Epidermal Growth Factor","Protein Coding","P01133","64","GC04P109912","10.6840209960938","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGF"
"CXCL12","C-X-C Motif Chemokine Ligand 12","Protein Coding","P48061","58","GC10M044370","10.6680297851563","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL12"
"POLD1","DNA Polymerase Delta 1, Catalytic Subunit","Protein Coding","P28340","59","GC19P172047","10.6385192871094","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLD1"
"TACC1","Transforming Acidic Coiled-Coil Containing Protein 1","Protein Coding","O75410","51","GC08P038728","10.6226139068604","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TACC1"
"TGFB1","Transforming Growth Factor Beta 1","Protein Coding","P01137","65","GC19M041301","10.5920333862305","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFB1"
"PRKCI","Protein Kinase C Iota","Protein Coding","P41743","58","GC03P170222","10.5427570343018","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKCI"
"JAK2","Janus Kinase 2","Protein Coding","O60674","66","GC09P004985","10.5348491668701","https://www.genecards.org/cgi-bin/carddisp.pl?gene=JAK2"
"TGFBR2","Transforming Growth Factor Beta Receptor 2","Protein Coding","P37173","65","GC03P031087","10.4976940155029","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFBR2"
"CHEK1","Checkpoint Kinase 1","Protein Coding","O14757","66","GC11P125625","10.4384889602661","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHEK1"
"YAP1","Yes1 Associated Transcriptional Regulator","Protein Coding","P46937","61","GC11P102110","10.4180212020874","https://www.genecards.org/cgi-bin/carddisp.pl?gene=YAP1"
"SMAD2","SMAD Family Member 2","Protein Coding","Q15796","64","GC18M047809","10.3219690322876","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMAD2"
"PRKCA","Protein Kinase C Alpha","Protein Coding","P17252","64","GC17P066302","10.2704515457153","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKCA"
"PELATON","Plaque Enriched LncRNA In Atherosclerotic And Inflammatory Bowel Macrophage Regulation","RNA Gene","","26","GC20P060314","10.2593154907227","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PELATON"
"E2F1","E2F Transcription Factor 1","Protein Coding","Q01094","57","GC20M033675","10.1814069747925","https://www.genecards.org/cgi-bin/carddisp.pl?gene=E2F1"
"PTPN11","Protein Tyrosine Phosphatase Non-Receptor Type 11","Protein Coding","Q06124","67","GC12P112418","10.1294460296631","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPN11"
"AURKA","Aurora Kinase A","Protein Coding","O14965","64","GC20M056370","10.1239948272705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AURKA"
"PTPRZ1","Protein Tyrosine Phosphatase Receptor Type Z1","Protein Coding","P23471","58","GC07P121873","10.0506362915039","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPRZ1"
"PRKCH","Protein Kinase C Eta","Protein Coding","P24723","60","GC14P061187","9.97651100158691","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKCH"
"CTLA4","Cytotoxic T-Lymphocyte Associated Protein 4","Protein Coding","P16410","60","GC02P205372","9.94197654724121","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTLA4"
"CCNE1","Cyclin E1","Protein Coding","P24864","61","GC19P029811","9.91248226165771","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCNE1"
"IL13RA2","Interleukin 13 Receptor Subunit Alpha 2","Protein Coding","Q14627","50","GC0XM115003","9.86445808410645","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL13RA2"
"DMBT1","Deleted In Malignant Brain Tumors 1","Protein Coding","Q9UGM3","52","GC10P122560","9.78767204284668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DMBT1"
"DNMT1","DNA Methyltransferase 1","Protein Coding","P26358","66","GC19M010133","9.78284358978271","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNMT1"
"BCL2L11","BCL2 Like 11","Protein Coding","O43521","57","GC02P111119","9.77821826934814","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL2L11"
"CD276","CD276 Molecule","Protein Coding","Q5ZPR3","55","GC15P073683","9.70856475830078","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD276"
"RAD51","RAD51 Recombinase","Protein Coding","Q06609","64","GC15P040694","9.69085502624512","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAD51"
"PLAUR","Plasminogen Activator, Urokinase Receptor","Protein Coding","Q03405","57","GC19M043646","9.67970848083496","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLAUR"
"TGFB2","Transforming Growth Factor Beta 2","Protein Coding","P61812","63","GC01P218345","9.58343505859375","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFB2"
